朝代,地区,姓名,名次,任官经历,著作,出身,婚嫁,轶事
康熙,杭州府钱塘县,钱肇修,,,,,,
康熙,杭州府钱塘县,陈成永,康熙十六年（1677）乡试三十四名，康熙三十年（1691）会试第十九名，康熙三十三年（1694）补殿试，第二甲第八名，赐进士出身，选翰林院庶吉士。,未散馆，以内艰归，寻卒。著有《攸好德堂集》。,,,,
康熙,杭州府钱塘县,陈恂,,,,,,
康熙,杭州府钱塘县,王家骕,,,,,,
康熙,杭州府钱塘县,朱良佐,,,,,,
康熙,杭州府钱塘县,查克建,习《诗》。康熙三十二年（1693）乡试第三十九名，康熙三十六年（1697）会试第九十八名，殿试第三甲第九名，赐同进士出身。,授直隶保定府束鹿县知县，扣户部主事，累迁刑部河南司郎中。外擢陕西凤翔府知府，未之任卒。著《纪恩诗钞》。,,查慎行长子。,,《清代诗文集汇编》第二二二册、方苞《望溪先生全集》卷十《翰林院编修查君墓志铭》页一四O上：“君讳嗣琏，字夏重，后更名慎行，浙江海宁人⋯⋯（子）克建，丁丑进士，凤翔知府。”同上书第三〇三册、全祖望《鲒埼亭集外编》卷七《翰林院编修初白查先生墓表》页八四下：“先生名嗣，宇夏重，别署查田，改名慎行，字悔余，别署初白，浙江杭州府海宁县人⋯⋯先生长子克建成进士最早。后三年，先生次弟嗣琛继之，翰林。又三年，先生入馆。又三年，嗣廷继之，克建亦入力刑部。”
康熙,杭州府钱塘县,高舆,治《易经》。康熙三十八年（1699）乡试第三十九名，康熙三十九年（1700）会试第十二名，殿试第二甲第十名，赐进士出身，授翰林院清书庶吉士。,乞归家侍养祖母。康熙四十四年（1705）南巡，特授编修，命居家校刊《佩文斋咏物诗选》及《渊鉴类涵》，书成，赴京补原官。康熙亲赐“谷兰斋”匾，命纂修《骈字类编》，未竣卒。著有《谷兰斋集》。,,高士奇子。,,光绪《平湖县志》卷一六《人物二•列传二•国朝》：“高舆，原名元受，字巽亭，号青壁，礼部侍郎文恪士奇长子。康熙庚辰进士，选翰林院庶吉士，即乞假归，侍养祖母俞太夫人。癸未士奇卒，上即命舆校《皇舆表》，事竣，乙酉南巡，特授舆编修，命即家开局，校刊《佩文斋咏物诗选》《渊鉴类函》二书。书成，赴补原官，赐第畅春园北，自是入则侍直，出则扈从，从容簪笔，朝夕恪勤。寻奉旨纂《骈字类编》，未竣而卒……上尝书‘谷兰斋’赐与舆，因以名其集，凡诗六卷。”
康熙,杭州府钱塘县,沈近思,,,,,,
康熙,杭州府钱塘县,金之存,,,,,,
康熙,杭州府钱塘县,凌绍焻,,,,,,
康熙,杭州府钱塘县,范允𨧨,,,,,,
康熙,杭州府钱塘县,鲍夔,,,,,,
康熙,杭州府钱塘县,查慎行,"治《诗经》。少受学于余姚黄宗族。康熙三十二年
(1693) 顺天乡试第二十名，康熙四十一年 (1702) 献诗赋，随驾入京，直南书房。明年会试第五十八名，殿试第二甲第二名，赐进士出身，授翰林院庶吉士。",未散馆，特授编修，充武英殿校勘，以病乞假。因其弟查嗣庭案获罪，后放归田里。雍正五年 (1727) 卒，终年七十八岁。著有《敬业堂集》《周易玩辞集解》《经史正讹》《陪猎笔记》《黔中风土记》《庐山游记》等；补注《苏文忠公诗》，搜罗甚富。,,,,"《清史稿》卷四八四《查慎行传》 ：“查慎行，字悔余，海宁人……康熙三十二年，举乡试。其后圣祖东巡，以大学士陈廷敬荐，诏诣行在赋诗。又诏随入都，直南书房。寻赐进士出身，选庶吉士，授编修……充武英殿书局校勘，乞病还。坐弟嗣庭得罪，阖门就速。世宗识其端瑾，特许放归田里……著《敬业堂集》《周易玩辞集解》，又补注《苏诗》，行于世。”
《海宁州志稿》卷二九《人物志二•儒林 •清》：“查慎行，字夏重，号悔余。父崧继，见义行。慎行少肆力经史百家…⋯继登黄征君宗羲门，诣益邃年。甫壮出游，足迹半天下，故纪游诗最富。康熙癸酉举顺天乡试，壬午用宰执荐召入内廷，明年成进士，特除编修。扈从塞外者三岁……充武英殿总裁，纂述皆称旨。平生恬退而重名节，有在事者遇同僚以非礼，起争之，为所嗛，遂告归……晚成《周易玩辞集解》，尤精粹得力处。后以家督获罪……与其子克念并放归，筑初白庵以居，学者称初白先生。卒年七十八。”"
康熙,杭州府钱塘县,许田,,,,,,
康熙,杭州府钱塘县,章藻功,,,,,,
康熙,杭州府钱塘县,吴煐,,,,,,
康熙,杭州府钱塘县,虞弘,,,,,,
康熙,杭州府钱塘县,叶昌,,,,,,
康熙,杭州府钱塘县,闵佩,,,,,,
康熙,杭州府钱塘县,包括,,,,,,
康熙,杭州府钱塘县,吴观城,,,,,,
康熙,杭州府钱塘县,汪见祺,,,,,,
康熙,杭州府钱塘县,金虞廷,,,,,,
康熙,杭州府钱塘县,徐云瑞,,,,,,
康熙,杭州府钱塘县,汪泰来,治《诗经》。康熙四十四年 (1705) 南巡，泰来迎銮并进诗册，召入内廷，参与纂修。康熙五十年 (1711) 顺天乡试第三十三名，钦赐康熙五十一年 (1712) 殿试，登第二甲第三十一名，赐进士出身。,授内阁中书，康熙五十二年 (1713) 调广东潮州府海防同知，丁忧去职。著有《半舫 》。,,,,《两浙楢轩续录》第一册、卷四（汪泰来）：字陛交，号后山，檄州人，钱塘籍，康熙壬辰进士，官广东潮州同知。著《半舫集》。（《府志》：潮州奸民往往运米济海盗，奉宩严禁缉，杜绝之，民始安息。管东西两界盐场．发帑不假手胥吏，赴场督收余盐，不今利归私贩，场课溢额。革鱼船规例，禁？勘供应，以羡朴前官亏阙。戊戊夏，山水暴发，决北门外堤，倡议捐筑，躬先？？，不数月堤成，民称为汪公堤。）”
康熙,杭州府钱塘县,徐圮,,,,,,
康熙,杭州府钱塘县,沈世屏,,,,,,《海宁州志稿》卷二八《人物志一•循吏 •清》：“沈贞亨，（字）仲嘉，号静园。顺治壬辰进士……子云……云子世屏，为钱塘名诸生。康熙壬辰进士，历检讨。雍正初，简词臣久次练达者改外任，世屏得长沙知府，率属勤民，力疏支江以安舟楫，尤汲汲兴士学，选其尤者入岳麓书院亲教之。性高简不宜上官，解组归。”
康熙,杭州府钱塘县,顾沈士,,,,,,
康熙,杭州府钱塘县,周澂,,,,,,
康熙,杭州府钱塘县,徐本,治《易经》。康熙五十二年 (1713) 乡试第三十二名，康熙五十七年(1718) 会试第一百三十四名，殿试第二甲第十二名，赐进士出身，选翰林院庶吉士，时年三十六岁。,康熙六十年 (1721) 散馆，授翰林院编修，入直武英殿，分纂《子史精华》《骈字类编》，充政治典训 纂修官。雍正元年 (1723) 与修《圣祖实录》，晋詹事府左春坊左赞善，转翰林院侍读，提督贵州学政，擢湖北布政使。内召为左都御史，充经筵讲官，晋工部尚书，协办大学士事务。充校对《三朝实录》《皇清文颖 》两馆总裁官，兼理都察院左都御史事。乾隆即位，授东阁大学士、兼礼部尚书、兼管刑部尚书事务。乾隆三年 (1738) 授机大臣，赐紫禁城骑马，加太子太保，兼管户部。以疾乞归。乾隆十二年 (1747) 卒，终年六十五岁，谥文穆。著有《诗文集》。,,,,《清代硃卷集成》第四六册《会试科年．光绪庚辰科·徐琪》：“历充顺天乡试同考官，律例馆总裁，武英殿蔡修、校对，三朝实录、皇清文颖两馆总裁，蔡修《渊鉴类函》《子史菁华》 ，五充殿试读卷官，三阅会试回避卷，本省钦差大臣，南书房行走，紫禁城骑马，赐第京邸，御赐｀福＇字及｀清德镇俗＇匾额并御制诗三章、手敕一道。扈跸谒陵及屡次巡幸，恩赏如意并御用冠服文绮貂裘，追赠少傅，赐谥文穆，谕赐祭葬，入祀贤良祠，国史列传。著有诗文集。诗采入《杭郡诗辑》，省志及他省名宦志俱载政绩。”
