朝代,地区,姓名,名次,任官经历,著作,出身,婚嫁,轶事
康熙九年庚戌,杭州府昌化县,陈秉谦,顺治十七年（1660）乡试第二十一名，明年会试第一百五十名，康熙九年（1670）补殿试，第二甲第二十九名，赐进士出身,,,,,
乾隆二年丁巳,杭州府昌化县,张自新,乾隆二年（1737）殿试第三甲第六十一名，赐同进士出身,丁巳成进士，为桐城张相国门下士,《易经通论》四卷,,,丁巳成进士，为桐城张相国门下士，极重其才，居京师十余载，受业及执贽请益者资其讲论，多获隽有名。素嗜经学，尤专精于《易》……因著《易经通论》四卷……寻归，卒于家。博学多才，未竟厥用，士林惜焉。
乾隆十七年壬申,杭州府昌化县,许起凤,乾隆十七年（1752）乡试举人，同年殿试第三甲第九十一名，赐同进士出身,候选知县，授陕西兴安州汉阴县知县。乾隆二十七年（1762）任陕西凤翔府宝鸡县知县，乾隆四十一年（1776）任安徽池州府建德县知县,,,,
康熙十二年癸丑,杭州府富阳县,陈三省,康熙八年(1669)乡试举人，会试九十九名，康熙十二年 (1673)殿试第三甲第八十四名，赐同进士出身,官知县,,,,
康熙十二年癸丑,杭州府富阳县,马翀,丁酉一百七名，会试八十五名，三甲八十七名,分部学习主事，由进士历官至江西盐法道,,,,
康熙三年甲辰,杭州府余杭县,严曾榘,"顺治十四年
(1657)乡试第一百九十三名,会试三十七名,康熙三年(1664)殿试第二甲第十三名,赐进士出
身","选翰林院庶吉士，五年,由庶吉士改授广西道御史，七年,因病乞假回籍。十一年,补河南道御史二十一年,服阕,补江南道御史，(二十八年)三月,借补右参议,寻转左。五月,迁鸿胪寺卿。三十年六月,迁右通政。八月,转左。十月,迁太仆寺卿。三十一年四月,迁通政使。十一月,迁左都御史。三十六年五月,擢兵部右侍郎，三十九年,卒于官。",《德聚堂集》,,,"《清圣祖实录》卷一二、康熙三年五月丙子:“谕吏部:选拔庶常原以作养人才,今科进士特 加简阅。取中严曾榘等十五员,俱著改为庶吉士,教习满书。”同上书卷二○、康熙五年九月辛丑:“谕吏部:庶吉士申涵盼等教习已久,今加考试,分别授职严曾榘、徐诰武、熊一潇、李棠,以科道用。”"
康熙十五年丙辰,杭州府余杭县,沈谷,"康熙八年(1669)乡试举人,康熙十五年 (1676)会试第五名,殿试第二甲第三十四名,赐进士出身",任知县,,,,"早擅文誉,性豪纵,喜狎游,青楼粉壁到处留题,尝以康对山、杨升庵自况云。"
康熙十八年己未,杭州府余杭县,吴维城,"康熙十七年(1678)乡试第三十六名, 康熙十八年(1679)会试第一百四名,殿试第三甲第四十六名,赐同进士出身",任安徽宁国府同知,,,,
康熙十八年己未,杭州府余杭县,俞寅,"康熙十四年(1675)乡试第二十八名,康熙十八年(1679)会试第九名,殿试第三甲第四十八名,赐同进士出身","康熙二十八年 (1689)任广西柳州府上林县知县,康熙三十四年(1695)任山东登州府栖霞县知县",,,,"卷二七《文艺传·国朝》：有神童之目,长益博综载籍,一官匏系,山水情多,刻有诗集四册行世。光绪《增修登州府志》卷二九《文秩五・栖霞县知县·国朝》:“康熙:俞寅,浙江余姚进士。三十四年任,次年秋荒,煮粥赈饥,虽隆冬必亲历不倦,全活甚众后四十三年大饥,民至相食,而守法无敢动者,寅一创之力也。”"
康熙四十五年丙戌,杭州府余杭县,吴世雍,"康熙三十八年(1699)乡试举人,康熙四十五年 (1706)殿试第三甲第九十三名",壶关知县,,,,
乾隆七年壬戌,杭州府余杭县,葛曙,"雍正七年(1729)乡试举人,乾隆七年(1742)殿试第二甲第 三十名,赐进士出身。","以知县即用,历任广东肇庆府新兴县、潮州府丰顺县、广州府新宁县、四川茂州保县知县,乾隆二十五年(1760)升四川成都府简州知州",,,,
康熙十五年丙辰,杭州府临安县,陈勋,"康熙十四年(1675)乡试第二十九名,康熙十五年(1676)会试第九十二名, 殿试第三甲第二十一名,赐同进士出身","历任河南卫辉府辉县知县,陕西绥德州、甘肃阶州知州, 授刑部主事,迁工部营缮司员外郎、刑部郎中,擢京畿道监察御史。罢归,终年八十七岁。",,,,"后以牵累罢归,卜居西郊,萧然物外,雅善丹青...卒,年八十七。"
康熙三十三年甲戌,杭州府临安县,高崧,"康熙三十二年(1693)癸酉科乡试 第四十三名,康熙三十三年(1694)会试第一百十一名,殿试第三甲第一百五名,赐同进士出身","康熙四十年(1701)授山东济南府霑化县知县,康熙四十四年(1705)授河南开封府通许县知县, 康熙五十六年(1717)任四川成都府灌县知县。雍正元年(1723)授礼部精膳司额外主事。告归, 终年七十四岁。",《易经阐奥》《五经萃要》《读史津梁》及《蜀游》《归田》《淑芳》等诗集,,,
康熙四十二年癸未,杭州府临安县,盛弘邃,"康熙三十八年(1699)乡试第 二十六名,康熙四十二年(1703)会试第二十三名,殿试第三甲第十九名,赐同进士出身","康熙 五十一年(1712)授江苏扬州府兴化县知县,以疾告归。终年七十二岁。",《石镜山庄诗初二 集》《宛槎集》《鹤田诗集》《凝翠轩诗集》《东田闲居草》《志行草》《评选时文》,,,"工书法,善诗…登康熙癸未进士,授兴化令。捐俸修葺文庙伦堂,创立义塾,延师教士,筑修范文正公捍海旧堤,水患至今永绝。后以疾告归,绅士吁宪请祀名宦。"
乾隆二年丁巳,杭州府临安县,徐锡仁,"乾隆元年(1736)乡试举人,乾隆二年(1737)殿试第二甲 第二十五名,赐进士出身。","以知县即用,乾隆三年(1738)授河南河南府孟津县知县,乾隆四年 (1739)任湖南永州府零陵县知县,明年调长沙府湘乡县知县",,,,
康熙十八年己未,杭州府於潜县,盛钟贤,"康熙十一年(1672)乡试第二十 名,康熙十八年(1679)会试第一百二十名,殿试第三甲第二十七名,赐同进士出身。","授江西瑞州 府高安县知县,卒于官",,,,"钟贤家贫力学,性尤孝。通籍后,宰高安,地瘠民贫, 奸吏多玩法。钟贤革耗羡,绝苞苴, 心厘剔,教养备至。卒于官,惟余布衾而已（两袖清风）"
乾隆元年丙辰,杭州府於潜县,赵钊,"雍正十年(1732)乡试举人,乾隆元年(1736)殿试第三甲第 一百三十七名,赐同进士出身。",任山东武定府乐陵县知县。,,,,
乾隆三十六年辛卯,杭州府於潜县,黄瀛元,"乾隆三十三年(1768)顺天乡试 举人,乾隆三十六年(1771)殿试第二甲第二名,赐进士出身,选翰林院汉书庶吉士。","散馆,授翰 林院编修,充文渊阁校理、修书馆纂修。三典顺天乡试,两充会试考官,乾隆五十三年(1788)补 山东道监察御史,官至礼科给事中。",,,,
康熙三年甲辰,杭州府仁和县,黄彦博,康熙三年（1664）殿试第三甲第八名，赐同进士出身，选满书庶吉士。,庶吉士,,,,《清圣祖实录》卷一二康熙三年五月丙子：“谕吏部：选拔庶常原以作养人才，今科进士特加简阅。取中……黄彦博……等十五员，俱著改为庶吉士，教习满书。”
康熙三年甲辰,杭州府仁和县,吴远,顺治十四年（1657）乡试第五十四名，康熙三年（1664）会试第四名，殿试第三甲第四十名，赐同进士出身，选内弘文院满书庶吉士。,康熙五年（1666）散馆，授户部主事，迁郎中、光禄寺少卿。康熙十年（1671）充江西乡试考官，康熙十四年（1675）任江西提学道。康熙十八年（1679）荐举博学鸿词，试入二等，授翰林院侍读，与修《明史》，累迁詹事府少詹事兼翰林院侍讲学士，与修《一统志》，致仕归。,《元史类编》《史学辨误》《戒山文存》《戒庵诗》,癸未年五月二十四日生，余姚籍，仁和人,,"《国朝耆献类征初编》卷一一六《词臣》之《邵远平》优游林泉…圣祖南巡，御书‘蓬观’字以赐，乃自号‘蓬观子’。”
《清代职官年表》卷一七八《人物六·文苑一·杭州府·国朝》：远平归田后息影湖庄，杜门谢客，著《续宏简录》四十二卷。"
康熙三年甲辰,杭州府仁和县,陈之桎,康熙二年（1663）乡试第四十五名，康熙三年会试第一百二十九名，殿试第三甲第四十一名，赐同进士出身。,康熙十二年（1673）授河南汝宁府光州固始县知县，康熙十九年（1680）升河南府陕州知州。,,,,康熙十二年，以进士知固始，平易慈惠，与民休息，兴学劝垦，恤孤惠贫，八年如一日也。升陕州知州。有去思碑。
康熙三年甲辰,杭州府仁和县,钱增,康熙三年（1664）殿试第三甲第六十四名，赐同进士出身。,官云南云南府晋宁州呈贡县知县。,,,,
康熙三年甲辰,杭州府仁和县,周宪文,顺治八年（1651）乡试第二十九名，康熙三年（1664）会试第二十三名，殿试第三甲第一百一名，赐同进士出身。,授广西桂林府兴安县知县，康熙十九年（1680）调江西南昌府新建县知县，累官吏科给事中。乞休，侨居扬州，以著书终老。,,北直隶顺天府大兴县籍，浙江杭州府仁和县人。,,乞休，侨居扬州，以著书终老。
康熙六年丁未,杭州府仁和县,卢琦,顺治十七年（1660）乡试第四十九名，康熙六年（1667）会试第十二名，殿试第二甲第十六名，赐进士出身。,选庶吉士，教习满书。康熙八年（1669）散馆，授编修。康熙十五年（1676）充会试同考官，历詹事府少詹事，擢内阁学士兼礼部侍郎。,,,,（清）王晞《今世说》卷四《赏誉》（《清代笔记小说大观》第一册页一五三）：“卢西宁少有异秉，断乳后不食他物，昼夜饮酒三五升，一吸辄尽，家人谓之酒仙。卢名琦，字景韩，浙江仁和人。生三岁，未尝闻啼声，迨五岁能语……年十二应省试，人多有物色之者。中丁未进士，历官侍讲学士。”《敕修浙江通志》卷一九〇《人物九·介节上·杭州府·国朝》：“卢琦，字景韩。康熙丁未进士，选庶吉士，授编修。历詹事府少詹，擢内阁学士兼礼部侍郎。文章尔雅，尤熟朝章典故……归田后，日课子读书，不与户外事。官至三品，家产不逾中人，粗衣菲食，淡如也。”
康熙六年丁未,杭州府仁和县,宋嗣京,顺治十七年（1660）乡试第二十九名，康熙六年（1667）会试第四名，殿试第三甲第九十九名，赐同进士出身。,康熙十九年（1680）授广东潮州府大埔县知县，在任七年升吏部主事，仕至江西饶州府知府。,,,,
康熙九年庚戌,杭州府仁和县,屠又良,康熙二年（1663）乡试第一名（解元），康熙九年（1670）殿试第三甲第三十一名，赐同进士出身。,授河南开封府扶沟县知县，升同知。,,,,
康熙九年庚戌,杭州府仁和县,柴煌,顺治十七年（1660）乡试第三十六名，康熙九年（1670）会试第一百四十一名，殿试第三甲第一百四十五名，赐同进士出身。,康熙二十年（1681）授江西赣州府会昌县知县，罢。,,,,同治《赣州府志》卷四三《官师志·县名宦·国朝》：“柴煌，浙江仁和人，进士。康熙二十年知会昌事……与上官有嫌，落职。”
康熙十二年癸丑,杭州府仁和县,许翼权,浙江杭州府仁和县籍，海宁县人。治《礼记》。康熙五年（1666）乡试第二名，康熙十二年（1673）殿试第二甲第二十三名，赐进士出身。,康熙二十四年（1685）授福建泉州府晋江县知县，擢工部营缮清吏司主事，充康熙三十六年（1697）会试考官，迁工部都水司员外郎，乞养归。,《吟庐集》,浙江嘉兴府秀水县增监生，民籍...祖翼权,,
康熙十二年癸丑,杭州府仁和县,张祖荣,康熙十一年（1672）乡试第一百五名，康熙十二年（1673）会试第一百八名，殿试第二甲第二十六名，赐进士出身，选翰林院庶吉士。,散馆，授翰林院编修，与修《平定方略》《一统志》《唐类函》，充康熙十五年（1676）会试同考官，累迁内阁学士兼礼部侍郎。丁忧归，卒。,,直隶顺天府宛平县籍，浙江杭州府仁和县人,,《钱塘县志》卷一九《人物·名臣·国朝》“历春坊赞善，迁讲读，奉命修《平定方略》《一统志》《唐类函》诸书。加讲读学士，转詹事，迁内阁学士兼礼部侍郎……闻母丧……终以哀毁致病卒。”
康熙十五年丙辰,杭州府仁和县,潘沐,顺治十七年（1660）顺天乡试举人，会试第一百十名，康熙十五年（1676）殿试第二甲第三十三名，赐进士出身，授翰林院庶吉士。,散馆，授翰林院编修。,《三余堂集》,,,《仁和县志》卷一八《人物志三·儒林·国朝》：“潘沐，字新潭……善为文。顺治庚子登贤书，康熙丙辰成进士……尚有所著《三余堂集》十卷，藏于家。”
康熙十八年己未,杭州府仁和县,吴震方,康熙八年（1669）乡试第七名，康熙十五年（1676）会试第八十八名，未殿试。康熙十八年（1679）补殿试，第二甲第一名，赐进士出身，授翰林院满书庶吉士。,康熙二十年（1681）散馆，授陕西道监察御史，罢归。,辑《朱子论定文钞》，著有《晚树楼诗稿》。,,,（清）阮元《两浙辖轩录》卷一二《吴震方》：“字青坛，仁和人。康熙己未进士，由庶吉士改授陕西道御史。著有《晚树楼诗稿》。徐倬曰：青坛以庶常改西台，罢官后，两遇圣祖南巡，迎驾，御书‘朱子全书’‘讲易’二额以赐。所著《朱子论定文钞》《读书正讹》《晚树楼诗稿》行世。”
康熙十八年己未,杭州府仁和县,钱登峰,年（1679）会试第二十七名，殿试第二甲第十三名，赐进士出身。,授内阁中书。,,,,
康熙十八年己未,杭州府仁和县,沈筠,康熙十七年（1678）顺天乡试第二十九名，康熙十八年（1679）会试第五名，殿试第二甲第十五名，赐进士出身，授翰林院庶吉士。,康熙十八年荐举博学鸿词，列二等，授翰林院编修，与修《明史》，寻卒。,《斗虹集》,高祖文，甲子亚魁，戊辰进士，历任河南按察使司副使，崇祀名宦乡贤，有《白雪楼遗稿》行世。母林氏，辛丑进士见任夏县知县榜姓张讳纶公胞姊。,,
康熙十八年己未,杭州府仁和县,顾永年,康熙十七年（1678）乡试举人，康熙二十四年（1685）殿试第二甲第四名，赐进士出身。,康熙二十九年（1690）授甘肃平凉府华亭县知县，受漕运总督董讷事牵连发遣奉天，后以运粮助征葛尔丹获释。,《梅东草堂诗集》,,,《清代诗文集汇编》一五二册页二八七：“顾永年，字九恒，号桐村，浙江钱塘（今属杭州）人。生于明崇祯十二年（一六三九），卒年不详，清康熙四十八年（一七〇九）仍在世。康熙二十四年（一六八五）进士，官平凉华亭知县。尝入漕运总督董讷幕，以董讷事为傅拉腊所中伤，于康熙三十一年发遣奉天。三十五年助征葛尔丹，以戍留都者并运粮军前赎罪获释。自后以文字游四方。少从陈祎明，长受知于王士禛。其诗多纪实之作。
康熙十八年己未,杭州府仁和县,傅光遇,康熙十六年（1677）乡试第三十名，康熙二十四年（1685）会试第十九名，殿试第三甲第六十四名，赐同进士出身。,康熙三十一年（1692）授安徽安庆府望江县知县。,,,,《敕修浙江通志》《人物六·孝友二·国朝》：“傅光遇，仁和人。康熙二十四年进士，榜后适母陆讣至，使者迁延，投其从父邸，觊稍缓一日，令无误馆撰，光遇察得大恸，厚责其使者，徒跣星南奔，京师见者以为孝。”
康熙二十七年戊辰,杭州府仁和县,汤右曾,康熙二十六年（1687）丁卯科顺天乡试第二名，康熙二十七年（1688）会试第三十三名，殿试第二甲第五名，赐进士出身，选翰林院庶吉士。,康熙三十年（1691）散馆，授翰林院编修，康熙三十五年（1696）充贵州乡试考官。康熙三十九年（1700）授刑科给事中，转户科掌印给事中，提督河南学政，康熙四十五年（1706）充会试同考官，调奉天府府丞兼学政。康熙五十一年（1712）特授翰林院掌院学士，充日讲起居注官，累迁吏部右侍郎兼翰林院掌院学士。康熙六十一年（1722）卒，终年六十七岁。,《怀清堂集》,,,方苞《望溪先生全集》外文卷七《翰林院掌院学士兼礼部侍郎汤公墓志铭》“辛丑六月，上命政府谕公解部职，仍掌院事，时公抱羸疾。逾年入秋遂剧，次年正月竟卒……公生于顺治十二年正月，享年六十有七。”
康熙二十七年戊辰,杭州府仁和县,翁嵩年,康熙十一年（1672）顺天乡试举人，任武义县教谕。会试第五十二名，康熙二十七年（1688）殿试第二甲第十四名，赐进士出身。,康熙三十三年（1694）授户部山西司主事，升本部四川司员外郎，丁忧。康熙三十九年（1700）升刑部广西司郎中，充会试同考官。康熙四十二年（1703）任广东提学道，三年秩满致仕。雍正六年（1728）卒，终年八十二岁,《天香书屋稿》《白云山房集》《友石居集》,,,《武义县志》卷二五六《宦绩录二十六·国朝二》：“翁嵩年，字康饴，号萝轩，仁和人。康熙戊辰进士，授户部主事。历刑部郎中，督学广东，矢心慎恪，务得真才。先是，学使者以琼州在海外，檄生童附雷州考试，嵩年曰：‘吾岂以一人易千万人命乎？出入忠信何畏焉？’竟渡海。后著为令。”
康熙二十七年戊辰,杭州府仁和县,凌绍雯,康熙十六年（1677）乡试举人，康熙二十七年（1688）殿试第二甲第四十名，赐进士出身，授翰林院清书庶吉士。,康熙三十年（1691）散馆，授翰林院编修。历国子监司业、翰林院侍讲学士、詹事府少詹事、日讲起居注官、内阁学士兼礼部侍郎。充《三朝国史》《明史》《平定沙漠方略》纂修官，康熙三十八年（1699）四川乡试、康熙四十四年（1705）陕西乡试考官。终年七十一岁。,,,,（清）潘衍桐《两浙辖轩续录》第一册卷三《凌绍雯》：“字子文，号北堂，钱塘人。康熙戊辰进士，官至内阁学士。《府志》：绍雯生而颖异，甫三岁，母朱口授《毛诗》，能成诵。康熙丁巳，领乡荐北上，贫不能归，遂馆京师。少习国书，戊辰廷试，卷用清汉合璧体书之，读卷官奏请上裁，置二甲末，入馆选。为人清介自守，自庶常以至阁学，不携家累。止寓翰林院官署，服浣衣数十年，不忍弃，饮食菲薄自甘。不妄交游，闭户读古人书。性严毅，寡言笑，不轻然诺，临事亦介然不惑。”
康熙二十七年戊辰,杭州府仁和县,沈佳,康熙二十年（1681）乡试举人，康熙二十七年（1688）殿试第三甲第十四名，赐同进士出身。,初授湖广监利县知县，调贵州安化县知县，卒于官。,著有《名儒言行录》《大全粹语》《春秋学》《易大象玩》《易解》《明代人物考》《乐府中声》《苍野集》《省督录》《复斋遗集》等。,,,
康熙二十七年戊辰,杭州府仁和县,陈祺昌,康熙二十九年（1690）乡试第四十二名，康熙三十年（1691）会试第一百十七名，殿试第二甲第二十名，赐进士出身。,授直隶大名府大名县知县。,,,,
康熙二十七年戊辰,杭州府仁和县,蔡醇,康熙二十三年（1684）乡试第三十三名，康熙三十年（1691）会试第一百四十五名，殿试第三甲第三十七名，赐同进士出身。,授云南临安府河西县知县。,,,,
康熙二十七年戊辰,杭州府仁和县,潘树椿,康熙二十六年（1687）丁卯科乡试第六名，康熙三十年（1691）会试第三十名，殿试第三甲第八十三名，赐同进士出身。,历福建福州府福清县知县，康熙五十四年（1715）任贵州思南府婺川县知县。,,,,
康熙三十三年甲戌,杭州府仁和县,李成铭,康熙三十二年（1693）乡试第二十五名，康熙三十三年（1694）会试第十五名，殿试第二甲第二十八名，赐进士出身。,官兵部主事，康熙四十五年（1706）充武会试监简官。,,,,
康熙三十三年甲戌,杭州府仁和县,吴隆元,康熙二十九年（1690）乡试第四名，康熙三十三年（1694）会试第八名，殿试第三甲第三十二名，赐同进士出身，授翰林院清书庶吉士。康熙四十二年（1703）考试不合格，归进士班用,康熙四十九年（1710）官山东济南府齐河县知县。雍正元年（1723）授主事，历侍读学士、大理寺少卿、都察院佥都御史、调太常寺卿。充雍正元年顺天乡试、雍正二年江南乡试考官。,《易宫》《读易管窥》《孝经三本管窥》,,,《清圣祖实录》同上书卷一九八、康熙三十九年四月丙子：“谕吏部：庶吉士龚铎等教习已久，今加考试……吴隆元……俱不准授职，著再教习三年。”卷二一二、康熙四十二年四月乙未：“谕吏部：庶吉士张尚瑷等教习已久，今加考试，应分别授职……吴隆元……等学习不及，归进士班用。”
康熙三十六年丁丑,杭州府仁和县,陈尧仁,康熙三十五年（1696）乡试第五名，康熙三十六年（1697）会试第四十二名，殿试第三甲第三十九名，赐同进士出身。,康熙四十三年（1704）任延平府顺昌县知县。,,,,
康熙三十九年庚辰,杭州府仁和县,沈宣,康熙三十八年（1699）陕西乡试第二十六名，康熙三十九年会试第七十八名，殿试第二甲第二十五名，赐进士出身。,授户部主事。,,陕西西安府长安县人。,,
康熙三十九年庚辰,杭州府仁和县,邵旦平,康熙三十五年（1696）乡试第三十名，康熙三十九年（1700）会试第二百八十三名，殿试第三甲第十三名，赐同进士出身。,,,,,
康熙三十九年庚辰,杭州府仁和县,吴之铸,康熙十七年（1678）乡试第六十三名，康熙三十九年（1700）会试第五十七名，殿试第三甲第九十四名，赐同进士出身。,授山西潞安府壶关县知县，调刑部山西司主事，转礼部主客司主事。,,高高祖之铸，康熙戊午举人，庚辰进士。,,
康熙四十二年癸未,杭州府仁和县,赵殿最,康熙四十一年（1702）乡试第三十名，康熙四十二年（1703）会试第五十五名，殿试第二甲第四十八名，赐进士出身。,历内阁中书，迁礼部主事、员外郎、刑部郎中、刑科给事中，充康熙六十年（1721）会试同考官。雍正四年（1726）授湖南按察使，历詹事府少詹事，晋内阁学士兼礼部侍郎，充经筵讲官。乾隆三年（1738）擢工部尚书，以失察镌级，归。,,,,调户部右侍郎。乾隆元年转左，巡视山东、河南道，改吏部右侍郎，擢工部尚书……四年，以失察镌级，乞归
康熙四十五年丙戌,杭州府仁和县,张映,康熙四十一年（1702）乡试第十九名，康熙四十五年（1706）会试第三百一名，殿试第二甲第十二名，赐进士出身。,官甘肃巩昌府安定县知县。终年七十六岁。,,,,《杭州府志》卷二九《人物志二·文苑·清》：“张映，字定山……康熙丙戌进士，授巩昌安定令，锐志有为，尝捐俸修学校，课士如子弟……西陲用兵，邑当孔道，戴星转输，不误晷刻，承檄征羊以供军……罢归后，晨炊夕诵无异诸生时，卒年七十六。”
康熙四十五年丙戌,杭州府仁和县,卢弘熹,康熙四十四年（1705）乡试第十八名，康熙四十五年（1706）会试第一百七十一名，殿试第二甲第二十一名，赐进士出身。,历内阁中书、兵部郎中、礼部郎中，充康熙五十二年（1713）广西乡试考官。,,,,
康熙四十五年丙戌,杭州府仁和县,邵锡章,康熙四十一年（1702）乡试第四十五名，康熙四十五年（1706）会试第八十名，殿试第三甲第十八名，赐同进士出身。,官直隶大名府长垣县知县。,,邵远平子,,
康熙四十五年丙戌,杭州府仁和县,邵锡光,康熙四十四年（1705）乡试第三十一名，康熙四十五年（1706）会试第一百三十六名，殿试第三甲第四十名，赐同进士出身。,康熙五十四年（1715）授江西南昌府新建县知县，历安徽凤阳府颍州颍上县、江苏江宁府溧阳县知县，累迁云南禄劝州知州，卒于官。,,邵远平子,,武生宋武潜谋不轨，锡光以计擒之，余党解散。升云南禄劝州知州，卒于官。
康熙四十五年丙戌,杭州府仁和县,史尚书,康熙四十四年（1705）顺天乡试第十八名，康熙四十五年（1706）会试第一百八十四名，殿试第三甲第八十四名，赐同进士出身，授翰林院满书庶吉士。,康熙五十一年（1712）散馆，授翰林院检讨。,,,,
康熙四十五年丙戌,杭州府仁和县,毛远宗,康熙二十九年（1690）乡试第二名，康熙四十五年（1706）会试第二百四名，殿试第三甲第一百六十九名，赐同进士出身。,官内阁中书舍人。,,《清代朱卷集成》第三册《会试科年·乾隆戊辰科·毛绍睿》：“（族伯叔祖）远宗，康熙丙戌进士，候选知县。”,,
康熙四十五年丙戌,杭州府仁和县,来珏,康熙四十一年（1702）乡试第七十五名，康熙四十五年（1706）会试第七十名，殿试第三甲第一百七十五名，赐同进士出身。,康熙五十六年（1717）任福建福州府永福县知县。,,,,
康熙四十五年丙戌,杭州府仁和县,田承谟,康熙三十八年（1699）乡试第四名，康熙四十五年（1706）会试第六十七名，殿试第三甲第二百四名，赐同进士出身。,授四川成都府温江县知县，康熙五十六年（1717）任广东高州府吴川县知县。,,,,
康熙四十八年己丑,杭州府仁和县,赵继抃,康熙三十八年（1699）乡试第四十三名，康熙四十八年（1709）会试第一百七十二名，殿试第二甲第四十二名，赐进士出身。,初授主事，改甘肃巩昌府伏羌县知县，署临洮府，雍正二年（1724）充甘肃武举考试官。,,,,
康熙四十八年己丑,杭州府仁和县,吴筠,康熙二十九年（1690）庚午科乡试第一名（解元），康熙四十八年（1709）会试第一百八名，殿试第三甲第七名，赐同进士出身。,历任山西潞安府潞城县知县，广东广州府增城县知县。,,,,光绪《重修安徽通志》卷一八六《人物志·宦绩九·徽州府·国朝》：“赵继抃，字鹤皋，休宁人。康熙己丑进士，以主事改伏羌知县。时西路出军，邑当孔道，往来供亿络绎浩繁，继抃禁苛派，纤悉不以累民。岁饥，不待请而发廪以赈，计口造册，亲引赴仓领粟，胥役无侵，欢声溢道。上官廉得其状，深奖异之，擢署兰州。”按：据《清史稿·地理志》，兰州府原名临洮府，乾隆三年（1738）改名。
康熙四十八年己丑,杭州府仁和县,顾芝,康熙四十七年（1708）顺天乡试第九十八名，康熙四十八年（1709）会试第二百四十七名，殿试第三甲第十名，赐同进士出身。,康熙五十四年（1715）授礼部祠祭司主事，升员外郎，充康熙五十九年（1720）贵州乡试考官，晋刑部贵州司郎中。雍正二年（1724）福建分巡延建邵道。,,,,
康熙四十八年己丑,杭州府仁和县,何景云,康熙四十七年（1708）乡试第一百四十二名，康熙四十八年（1709）会试第二百三十四名，殿试第三甲第八十二名，赐同进士出身。,授嘉兴府府学教授。,,,,
康熙四十八年己丑,杭州府仁和县,叶亮,康熙四十七年（1708）乡试第五十一名，康熙四十八年（1709）会试第一百三十名，殿试第三甲第一百二十八名，赐同进士出身。,康熙五十八年（1719）授山东曹州府定陶县知县，调山东武定府沾化县，引疾归。,,,,
康熙五十一年壬辰,杭州府仁和县,钱廷献,康熙二十六年（1687）丁卯科乡试第四十一名，康熙五十一年（1712）会试第三十一名，殿试第三甲第九名，赐同进士出身，选翰林院庶吉士。,明年散馆，授翰林院检讨，官至监察御史。,,,,
康熙五十二年癸巳,杭州府仁和县,姚三辰,康熙五十年（1711）乡试第九名，会试二十八名，康熙五十二年（1713）会试第二十八名，殿试第三甲第八名，赐同进士出身，选翰林院庶吉士。,康熙五十四年（1715）散馆，授翰林院检讨，康熙五十六年（1717）充顺天乡试考官。雍正四年（1726）充日讲起居注官，升詹事府左春坊左中允，典山西乡试，升侍讲、侍读学士，转詹事府少詹事，提督安徽学政。雍正十三年（1735）升内阁学士兼礼部侍郎，迁兵部右侍郎，调吏部侍郎。乾隆元年（1736）充江西乡试考官，乾隆二年（1737）充会试副总裁，病卒,,,,
康熙五十四年乙未,杭州府仁和县,王时瑞,康熙五十年（1711）乡试第五十六名，康熙五十四年（1715）会试第六十一名，殿试第二甲第三十三名，赐进士出身。,授直隶永平府迁安县知县，历江苏常州府宜兴县知县。,,,,《清代官员履历档案全编》第一三册《雍正朝》页六〇五：“臣王时瑞，浙江杭州府仁和县人，年四十六岁。由增广生，于康熙五十年辛卯科本省乡试中式第五十六名举人，康熙五十四年乙未科会试中式第六十一名，殿试第二甲第三十三名进士。留京教习期满，考取一等第二十一名，奉旨遇有月官扣缺，即行补用。今掣得直隶永平府迁安县知县缺。”
康熙五十七年戊戌,杭州府仁和县,沈锡辂,康熙五十六年（1717）顺天乡试第十九名，副榜贡生，康熙五十七年（1718）会试第三十二名，殿试第一甲第三名（探花），授翰林院编修。,雍正四年（1726）提督山西学政。,,曾祖必成，祖兆琏，父一宁，母查氏，继母徐氏，慈侍下。,娶俞氏。,
康熙五十七年戊戌,杭州府仁和县,吴涛,康熙五十年（1711）乡试第二十七名，康熙五十七年（1718）会试第二十三名，殿试第三甲第一名，赐同进士出身。,康熙六十年（1721）散馆，授翰林院检讨，考选贵州道监察御史。,,,,
康熙六十年辛丑,杭州府仁和县,姚世荣,廪监生。康熙五十九年（1720）乡试第十八名，康熙六十年（1721）会试第六十五名，殿试第二甲第四名，赐进士出身。,散馆，授翰林院编修。历刑部云南司员外郎、刑部江南司郎中。雍正九年（1731）考选江西道御史，明年提督江西学政。,,公讳昌……系出江南徽州，七世祖迁浙江余姚，曾祖讳某再迁浙江，始为仁和人,,
康熙六十年辛丑,杭州府仁和县,杨汝楩,附学生。康熙五十九年（1720）顺天乡试第九十七名，康熙六十年（1721）会试第十八名，殿试第二甲第二十四名，赐进士出身，时年三十岁。,历云南永昌府同知、甘肃肃州直隶州知州，迁甘肃西宁道。,,曾祖椿，祖许王，父圣纶。,,
